iter	Passed	Remaining
690	33017	14764
691	33068	14718
692	33117	14671
693	33164	14623
694	33210	14574
695	33258	14526
696	33305	14478
697	33352	14430
698	33399	14382
699	33447	14334
700	33493	14286
701	33540	14238
702	33587	14190
703	33634	14141
704	33681	14093
705	33728	14045
706	33774	13996
707	33820	13948
708	33867	13900
709	33918	13854
710	33965	13805
711	34012	13757
712	34058	13709
713	34104	13660
714	34151	13613
715	34199	13565
716	34247	13517
717	34294	13469
718	34341	13421
719	34388	13373
720	34436	13325
721	34483	13277
722	34528	13228
723	34574	13180
724	34623	13132
725	34674	13086
726	34725	13040
727	34778	12993
728	34829	12947
729	34882	12901
730	34934	12855
731	34981	12807
732	35027	12759
733	35073	12710
734	35118	12661
735	35166	12614
736	35212	12565
737	35258	12517
738	35305	12469
739	35350	12420
740	35396	12371
741	35442	12323
742	35488	12275
743	35534	12226
744	35581	12178
745	35628	12130
746	35674	12082
747	35721	12034
748	35767	11986
749	35814	11938
750	35860	11889
751	35911	11843
752	35958	11795
753	36003	11746
754	36049	11698
755	36095	11649
756	36140	11601
757	36186	11552
758	36232	11504
759	36278	11456
760	36324	11408
761	36371	11360
762	36417	11311
763	36465	11264
764	36509	11215
765	36557	11167
766	36605	11119
767	36650	11071
768	36703	11025
769	36762	10980
770	36821	10936
771	36877	10891
772	36928	10844
773	36975	10796
774	37020	10747
775	37067	10699
776	37112	10651
777	37158	10603
778	37204	10554
779	37249	10506
780	37294	10457
781	37340	10409
782	37386	10361
783	37432	10313
784	37478	10264
785	37524	10216
786	37573	10169
787	37624	10122
788	37672	10074
789	37720	10026
790	37766	9978
791	37815	9931
792	37865	9884
793	37916	9837
794	37964	9789
795	38009	9741
796	38055	9692
797	38102	9644
798	38147	9596
799	38193	9548
800	38239	9500
801	38285	9451
802	38330	9403
803	38377	9355
804	38424	9307
805	38469	9259
806	38515	9211
807	38561	9163
808	38609	9115
809	38655	9067
810	38701	9019
811	38747	8971
812	38794	8923
813	38839	8874
814	38888	8827
815	38937	8780
816	38985	8732
817	39032	8684
818	39078	8636
819	39124	8588
820	39173	8540
821	39223	8493
822	39274	8446
823	39324	8399
824	39375	8352
825	39427	8305
826	39472	8257
827	39520	8209
828	39568	8161
829	39614	8113
830	39662	8066
831	39707	8017
832	39754	7969
833	39803	7922
834	39854	7875
835	39911	7829
836	39963	7782
837	40011	7735
838	40058	7686
839	40104	7638
840	40152	7591
841	40197	7543
842	40252	7496
843	40303	7449
844	40354	7402
845	40405	7355
846	40455	7307
847	40506	7260
848	40556	7213
849	40604	7165
850	40650	7117
851	40696	7069
852	40741	7021
853	40786	6972
854	40832	6924
855	40884	6877
856	40934	6830
857	40980	6782
858	41026	6734
859	41072	6686
860	41121	6638
861	41168	6590
862	41216	6542
863	41263	6495
864	41309	6447
865	41356	6399
866	41401	6351
867	41446	6302
868	41501	6256
869	41555	6209
870	41608	6162
871	41660	6115
872	41712	6068
873	41759	6020
874	41805	5972
875	41854	5924
876	41905	5877
877	41952	5829
878	41997	5781
879	42046	5733
880	42092	5685
881	42138	5637
882	42185	5589
883	42231	5541
884	42277	5493
885	42323	5445
886	42370	5397
887	42416	5349
888	42462	5301
889	42510	5254
890	42557	5206
891	42605	5158
892	42651	5110
893	42702	5063
894	42747	5015
895	42794	4967
896	42843	4919
897	42895	4872
898	42941	4824
899	42988	4776
900	43034	4728
901	43080	4680
902	43126	4632
903	43172	4584
904	43220	4536
905	43266	4489
906	43312	4441
907	43358	4393
908	43404	4345
909	43450	4297
910	43497	4249
911	43544	4201
